epoch,step,test_acc,test_loss,train_acc,train_loss
0,49,,,0.33984375,1.8131451606750488
0,99,,,0.359375,1.727086067199707
1,149,,,0.5,1.5144171714782715
1,199,,,0.44140625,1.5895309448242188
2,249,,,0.5,1.3100899457931519
2,299,,,0.5390625,1.299923300743103
3,349,,,0.55078125,1.2100893259048462
3,399,,,0.60546875,1.2156095504760742
4,449,,,0.59375,1.2003412246704102
4,499,,,0.578125,1.141045331954956
5,549,,,0.65234375,0.99091637134552
5,599,,,0.625,1.1575641632080078
6,649,,,0.73046875,0.8772289156913757
6,699,,,0.64453125,1.1242198944091797
7,749,,,0.6484375,0.9628187417984009
7,799,,,0.640625,1.0081762075424194
8,849,,,0.75,0.7698005437850952
8,899,,,0.62890625,1.0593692064285278
9,949,,,0.77734375,0.6672237515449524
9,999,,,0.6640625,1.0544183254241943
10,1000,0.696093738079071,0.8577872514724731,,
